source,source_id,flagged_fragrance,flagged_parabens,flagged_sulfates,flagged_phthalates,flagged_alcohol,flagged_silicones
sephora,P468653,False,False,False,False,False,False
sephora,P469819,False,False,False,False,False,False
sephora,P502850,False,False,False,False,False,True
sephora,P504127,False,False,False,False,False,False
sephora,P474831,False,False,False,False,False,False
sephora,P481819,False,False,False,False,False,False
sephora,P481088,False,False,False,False,False,False
sephora,P504894,True,False,False,False,False,False
sephora,P274001,True,False,False,False,False,False
sephora,P390722,True,False,False,False,False,True
sephora,P377755,True,False,False,False,False,False
sephora,P457245,True,False,False,False,False,False
sephora,P405231,True,False,False,False,False,False
sephora,P474948,True,False,False,False,False,True
sephora,P472700,True,False,False,False,False,False
sephora,P448881,True,False,False,False,False,True
sephora,P469469,True,False,False,False,False,False
sephora,P416205,True,False,False,False,False,True
sephora,P481706,True,False,False,False,False,False
sephora,P183916,False,False,False,False,False,False
sephora,P471764,True,False,False,False,False,False
sephora,P505129,False,False,False,False,False,False
sephora,P410767,False,False,False,False,False,False
sephora,P446334,True,False,True,False,False,False
sephora,P463625,True,False,False,False,False,False
sephora,P501179,True,False,False,False,False,True
sephora,P474949,True,False,False,False,False,True
sephora,P446827,False,False,True,False,False,False
sephora,P504939,False,False,False,False,False,False
sephora,P419605,True,False,False,False,False,False
sephora,P476508,False,False,False,False,False,False
sephora,P476560,False,False,False,False,False,False
sephora,P500416,False,False,False,False,False,False
sephora,P500394,False,False,False,False,False,False
sephora,P505234,False,False,False,False,False,False
sephora,P504525,False,False,False,False,False,False
sephora,P504521,False,False,True,False,False,True
sephora,P504823,False,False,False,False,False,False
sephora,P504526,False,False,False,False,False,True
sephora,P504782,False,False,False,False,False,True
sephora,P504829,False,False,False,False,False,False
sephora,P504802,False,False,False,False,False,True
sephora,P504831,False,False,False,False,False,False
sephora,P504834,False,False,False,False,True,True
sephora,P504775,False,False,False,False,False,True
sephora,P504814,False,False,False,False,False,False
sephora,P504803,False,False,False,False,False,False
sephora,P504527,False,False,False,False,False,False
sephora,P504807,False,False,False,False,False,False
sephora,P504789,False,False,False,False,False,False
sephora,P504800,False,False,False,False,False,True
sephora,P504788,False,False,False,False,False,False
sephora,P407471,False,False,True,False,False,False
sephora,P455557,True,False,False,False,False,True
sephora,P420491,False,False,False,False,False,False
sephora,P471548,False,False,False,False,False,True
sephora,P420492,False,False,False,False,False,True
sephora,P441882,False,False,False,False,False,False
sephora,P453273,True,False,True,False,False,True
sephora,P452737,False,False,False,False,False,False
sephora,P459503,True,False,False,False,False,True
sephora,P452736,True,False,False,False,False,False
sephora,P471239,True,False,False,False,False,False
sephora,P502188,True,False,False,False,False,True
sephora,P469858,True,False,False,False,False,True
sephora,P456588,False,False,False,False,False,False
sephora,P452738,False,False,False,False,False,False
sephora,P467622,True,False,True,False,False,True
sephora,P457649,False,False,False,False,False,False
sephora,P483448,True,False,False,False,False,True
sephora,P469821,True,False,False,False,False,False
sephora,P500476,False,False,False,False,False,False
sephora,P467623,True,False,False,False,False,True
sephora,P457650,False,False,False,False,False,True
sephora,P469876,False,False,False,False,False,False
sephora,P501313,False,False,False,False,False,True
sephora,P480306,True,False,False,False,True,False
sephora,P483447,False,False,True,False,True,False
sephora,P501242,True,False,False,False,False,False
sephora,P429915,False,False,False,False,False,False
sephora,P266308,True,False,False,False,False,False
sephora,P197413,True,False,False,False,False,False
sephora,P429916,False,False,False,False,False,False
sephora,P284710,True,False,False,False,False,False
sephora,P405071,True,False,False,False,False,True
sephora,P430124,True,False,False,False,False,False
sephora,P483450,True,False,False,False,False,False
sephora,P471240,True,False,False,False,False,False
sephora,P190247,True,False,False,False,False,False
sephora,P456356,True,False,False,False,False,True
sephora,P501172,False,False,False,False,False,False
sephora,P459464,True,False,False,False,False,False
sephora,P459466,False,False,True,False,False,False
sephora,P501230,True,False,False,False,False,False
sephora,P505377,True,False,True,False,False,True
sephora,P481997,False,False,False,False,False,False
sephora,P481999,False,False,False,False,False,False
sephora,P502289,True,False,False,False,False,False
sephora,P482002,False,False,False,False,False,False
sephora,P504152,False,False,False,False,False,False
sephora,P482000,False,False,False,False,False,False
sephora,P503357,False,False,False,False,False,True
sephora,P481996,False,False,False,False,False,False
sephora,P481998,False,False,False,False,False,False
sephora,P482001,False,False,False,False,False,False
sephora,P502461,False,False,False,False,False,False
sephora,P481995,True,False,False,False,False,False
sephora,P500491,False,False,False,False,False,True
sephora,P502436,False,False,False,False,False,False
sephora,P503639,True,False,False,False,False,False
sephora,P505462,False,False,False,False,False,True
sephora,P502185,False,False,True,False,True,True
sephora,P500283,False,False,False,False,False,False
sephora,P500314,False,False,False,False,False,False
sephora,P500284,False,False,False,False,False,False
sephora,P500336,False,False,False,False,False,True
sephora,P500298,False,False,False,False,False,False
sephora,P501271,False,False,False,False,False,True
sephora,P500301,False,False,False,False,False,True
sephora,P504025,False,False,False,False,False,True
sephora,P502321,False,False,False,False,False,False
sephora,P500295,False,False,False,False,False,False
sephora,P410532,False,False,False,False,False,True
sephora,P377723,False,False,False,False,False,True
sephora,P384963,False,False,False,False,False,True
sephora,P210575,False,False,False,False,False,True
sephora,P454042,False,False,True,False,False,True
sephora,P382309,False,False,False,False,False,False
sephora,P395697,False,False,False,False,False,True
sephora,P483662,False,False,False,False,False,False
